,symbol
1031,SPN
1032,BAN
1033,COVA
1034,SKCH
1035,PTI
1036,AMN
1037,TCH
1038,ADB
1039,CRC
1040,ZPT
1041,1X2
1042,BTCP
1043,EQUAD
1044,ZUM
1045,DEEX
1046,MCASH
1047,PND
1048,RTE
1049,GBC
1050,GOLD
1051,OWN
1052,ENQ
1053,LML
1054,GMB
1055,BC
1056,BTCZ
1057,RISE
1058,XNS
1059,DAB
1060,GEO
1061,MNC
1062,XPC
1063,QAC
1064,SPHTX
1065,WCT
1066,CCX
1067,INSN
1068,HVN
1069,HUSH
1070,DCY
1071,DYN
1072,ORMEUS
1073,MLC
1074,UT
1075,XSG
1076,TAS
1077,HORUS
1078,PTON
1079,MFG
1080,MPG
1081,TCC
1082,SAFE
1083,MTX
1084,HSS
1085,SIB
1086,TZC
1087,TFB
1088,BBC
1089,IETH
1090,PKT
1091,QNTU
1092,VDX
1093,SINS
1094,NEAL
1095,AYA
1096,XBX
1097,MESG
1098,KRB
1099,ETK
1100,BWT
1101,COT
1102,NOW
1103,BIO
1104,IXC
1105,CEN
1106,FLP
1107,WNL
1108,PIRL
1109,IDT
1110,DATX
1111,NLC2
1112,1UP
1113,EBC
1114,VZT
1115,IOP
1116,HOLD
1117,LCX
1118,ORB
1119,FACE
1120,NCC
1121,AIT
1122,OLE
1123,MVP
1124,CBC
1125,FXT
1126,TNC
1127,MRK
1128,ATM
1129,UDOO
1130,DRT
1131,DXT
1132,CLN
1133,WEBD
1134,CVN
1135,XPA
1136,BOMB
1137,STX
1138,HEAT
1139,QBT
1140,HALO
1141,AMON
1142,AID
1143,FLIXX
1144,XBC
1145,ION
1146,ZIPT
1147,SHIFT
1148,BOB
1149,PRG
1150,RED
1151,ETT
1152,SHND
1153,EVN
1154,NOR
1155,BANCA
1156,GIO
1157,KICK
1158,PXC
1159,ESS
1160,A
1161,NANJ
1162,MTC
1163,BDG
1164,ICNQ
1165,HQX
1166,ZLA
1167,XHI
1168,ESP
1169,MBN
1170,PLA
1171,BBP
1172,UP
1173,RATING
1174,TWINS
1175,NTRN
1176,EXCL
1177,LOBS
1178,OBITS
1179,ACM
1180,PHI
1181,AUC
1182,CRYP
1183,OCT
1184,ROBET
1185,FKX
1186,KST
1187,VANTA
1188,BIR
1189,TTV
1190,SNOV
1191,ZP
1192,MCT
1193,HNST
1194,J8T
1195,MEME
1196,GBX
1197,ELEC
1198,ESBC
1199,HBZ
1200,PYLNT
1201,AUX
1202,CNUS
1203,WIKEN
1204,MOTO
1205,VITES
1206,BFX
1207,LNX
1208,DBET
1209,LEO
1210,BNY
1211,XWP
1212,PASS
1213,TRTT
1214,GOT
1215,PLAY
1216,KZE
1217,X8X
1218,ERO
1219,BBK
1220,CXP
1221,GOLOS
1222,STAR
1223,XBI
1224,MNX
1225,NEWS
1226,ZSC
1227,NBAI
1228,MVC
1229,PBT
1230,TCASH
1231,XLR
1232,PUT
1233,MAC
1234,XSM
1235,DBIX
1236,FOTA
1237,TIPS
1238,GCR
1239,RLX
1240,XLA
1241,LCS
1242,RYO
1243,TIE
1244,SENC
1245,RPD
1246,FTT
1247,MANNA
1248,SS
1249,UBC
1250,JAR
1251,XNV
1252,OWC
1253,ERK
1254,SPD
1255,COFI
1256,SHDW
1257,ZNZ
1258,ONOT
1259,PXG
1260,ERT
1261,GEM
1262,REAL
1263,XCM
1264,GLC
1265,MAO
1266,DIM
1267,TGAME
1268,SEAL
1269,ONL
1270,CMCT
1271,ADC
1272,BLAST
1273,IPSX
1274,DOV
1275,PRIX
1276,PING
1277,X42
1278,MNTP
1279,LALA
1280,UPX
