,symbol,name,price_btc,price_usd,percent_change_1h,percent_change_7d,volume_usd_24h,market_cap_usd,max_supply,available_supply,total_supply
848,MARS,Marscoin,0.00000185,0.0208458,-0.35,3.02,2565.28,589500.0,,28279074.0,28279074.0
849,KAYI,Kayicoin,0.00000018,0.00206134,-0.58,-10.3,10762.8,586133.0,300000000.0,284345719.0,284345719.0
850,BSTY,GlobalBoost-Y,0.00000383,0.0431482,-0.43,24.59,2117.11,585662.0,,13573261.0,13573261.0
851,BUMBA,BumbaCoin,0.00000221,0.0249194,4.01,34.01,4128.49,563445.0,,22610694.0,22610694.0
852,PHS,Philosopher Stones,0.00000827,0.0931865,-5.13,-47.43,2077.83,560455.0,,6014340.0,6014340.0
853,SRC,SecureCoin,0.00000575,0.0647568,4.91,-1.83,5527.33,543644.0,,8395171.0,8395171.0
854,IMS,Independent Money System,0.00000897,0.101101,0.76,-51.58,13206.1,542805.0,,5368934.0,5368934.0
855,CAT,Catcoin,0.00000755,0.0850735,-0.35,-9.55,3112.01,534674.0,,6284850.0,6284850.0
856,BTG,Bitgem,0.00079149,8.91852,-19.32,55.31,25222.3,534642.0,,59947.0,59947.0
857,PXI,Prime-XI,0.00000254,0.0286132,3.76,-2.66,4298.2,534354.0,,18675090.0,18675090.0
858,611,SixEleven,0.0001075,1.21133,-0.65,-21.97,5301.86,528214.0,,436061.0,436061.0
859,COAL,BitCoal,0.00001035,0.116624,-8.64,-36.92,21084.8,524808.0,12500000.0,4500000.0,4500000.0
860,ERY,Eryllium,0.00000821,0.0925065,-5.94,63.62,67924.9,519546.0,,5616315.0,15616315.0
861,MST,MustangCoin,0.00007265,0.818639,-0.34,53.36,2420.43,516024.0,3000000.0,630343.0,630343.0
862,STV,Sativacoin,0.00000643,0.0724933,-17.58,-7.37,20105.0,513878.0,,7088622.0,7088622.0
863,ZCG,Zlancer,0.00002222,0.250412,-36.61,-58.36,4339.89,502731.0,,2007615.0,2500000.0
864,RPC,RonPaulCoin,0.00004730,0.533009,-0.48,18.38,57109.2,484324.0,,908661.0,908661.0
865,RBIES,Rubies,0.00000410,0.0461707,-0.35,-24.43,796.739,480879.0,,10415252.0,10415252.0
866,BITSILVER,bitSilver,0.00189577,21.3616,0.21,7.61,914.918,478199.0,,22386.0,22386.0
867,SPACE,SpaceCoin,0.00000193,0.0217873,15.33,-23.38,15762.0,466487.0,,21410954.0,21410954.0
868,XBTS,Beatcoin,0.00002709,0.305296,2.41,33.55,12072.4,465481.0,,1524686.0,2524686.0
869,HONEY,Honey,0.0001022,1.15154,14.38,3.6,2815.25,463822.0,,402784.0,402784.0
870,VOT,VoteCoin,0.00000250,0.0281336,-0.32,-21.24,982.712,463491.0,220000000.0,16474625.0,16474625.0
871,BITGOLD,bitGold,0.163753,1845.17,0.33,22.88,1585.17,460340.0,,249.0,249.0
872,NTWK,Network Token,0.00000349,0.0393244,-0.92,-44.34,660.012,458967.0,,11671310.0,50000000.0
873,QCN,QuazarCoin,0.00000600,0.0676081,10.15,7.37,5086.54,453458.0,,6707162.0,6707162.0
874,BRAT,BROTHER,0.00000025,0.00281271,-16.81,-20.19,3158.48,450034.0,,160000000.0,1000000000.0
875,ICOB,ICOBID,0.00000037,0.00415945,-9.69,-8.88,6272.17,445263.0,,107048455.0,107048455.0
876,MAR,Marijuanacoin,0.00002380,0.268179,-0.35,-8.66,1372.88,437561.0,,1631601.0,1631601.0
877,EUC,Eurocoin,0.00000313,0.0352264,-0.22,-23.83,2113.61,437391.0,,12416554.0,12416554.0
878,BRIA,BriaCoin,0.00005671,0.639,-0.0,8.21,16746.5,424235.0,3000000.0,663904.0,663904.0
879,RUPX,Rupaya,0.00000600,0.0676081,-0.41,47.96,7012.16,416931.0,8400000.0,6166876.0,6166876.0
880,CACH,CacheCoin,0.00000841,0.0947413,-0.18,-7.48,12639.6,397452.0,10000000.0,4195132.0,4195132.0
881,FLAX,Flaxscript,0.00000615,0.0692983,0.3,38.17,20692.9,387712.0,,5594827.0,5594827.0
882,CNNC,Cannation,0.00001380,0.155447,-0.09,-9.52,3147.15,385026.0,,2476893.0,2476893.0
883,FUZZ,FuzzBalls,0.00000705,0.0794126,6.47,13.44,6304.52,383558.0,,4829945.0,4829945.0
884,DIBC,DIBCOIN,0.00000664,0.0748725,10.61,97.37,17000.9,374363.0,,5000000.0,5000000000.0
885,EVO,Evotion,0.00001034,0.116479,2.82,-55.31,4312.22,374058.0,,3211377.0,3211377.0
886,REE,ReeCoin,0.00000001,0.000140823,0.47,-4.75,6846.42,360507.0,,2560000000.0,6662367704.0
887,XCRE,Creatio,0.00000155,0.0175185,4.11,1.05,7211.79,359489.0,,20520514.0,20520514.0
888,EGAS,ETHGAS,0.00000311,0.0350731,-0.94,-3.76,841.755,356256.0,,10157540.0,13792050.0
889,GLT,GlobalToken,0.00000112,0.0126373,-0.44,-7.33,3185.96,353480.0,,27971200.0,27971200.0
890,EAGLE,EagleCoin,0.00001496,0.168566,-0.47,-17.42,4860.8,352880.0,,2093421.0,3633153.0
891,SONG,SongCoin,0.00000095,0.0106891,-0.26,-21.9,3398.84,348094.0,,32565300.0,32565300.0
892,NEVA,NevaCoin,0.00001208,0.136129,-0.3,23.89,8376.4,347026.0,,2549245.0,2549245.0
893,BAS,BitAsean,0.00000613,0.0690834,-0.94,-54.09,1564.32,345417.0,,5000000.0,30000000.0
894,AIB,Advanced Internet Blocks,0.00000128,0.0144578,-0.24,-41.95,17608.8,345206.0,,23876767.0,31412139756.0
895,XNG,Enigma,0.00005695,0.641714,56.86,51.77,5103.41,337763.0,5000000.0,526345.0,938685.0
896,ACOIN,Acoin,0.00002362,0.266165,1.88,32.1,2025.82,324744.0,,1220085.0,1220085.0
897,SOIL,SOILcoin,0.00000501,0.0564528,-14.36,-15.58,1623.11,321897.0,,5702048.0,5702048.0
898,$$$,Money,0.00000062,0.00698617,1.29,-18.25,2682.56,320576.0,,45887218.0,45887218.0
899,300,300 Token,0.0943,1062.57,-6.46,7.68,8467.97,318771.0,300.0,300.0,300.0
900,KRONE,Kronecoin,0.00000610,0.0687577,-2.13,-26.63,5788.39,316866.0,84000000.0,4608442.0,4608442.0
901,GPL,Gold Pressed Latinum,0.00010874,1.22528,-19.13,-12.76,11453.6,314317.0,1000000.0,256527.0,256527.0
902,GPU,GPU Coin,0.00000067,0.00756916,-2.99,-11.62,887.832,306377.0,,40477042.0,51530001.0
903,ZUR,Zurcoin,0.00000031,0.00349309,-0.34,-41.55,2839.84,306180.0,,87653034.0,87653034.0
904,CXT,Coinonat,0.00000311,0.0350292,2.58,-41.43,3439.63,302064.0,,8623200.0,10123200.0
905,SOJ,Sojourn,0.00005500,0.619741,-0.35,3239.32,2319.14,300707.0,,485214.0,852366.0
