,symbol,name,price_btc,price_usd,percent_change_1h,percent_change_24h,volume_usd_24h,market_cap_usd,available_supply,max_supply
1429,UNC,UNCoin,0.00000001 BTC,$0.00,-3.96%,-14.5%,165.937,Unknown,Unknown,Unknown
1430,POKE,PokeCoin,0.00000002 BTC,$0.00,-3.96%,-14.49%,165.127,Unknown,Unknown,Unknown
1431,RYZ,ANRYZE,0.00000126 BTC,$0.01,-3.41%,-23.08%,140.372,Unknown,Unknown,Unknown
1432,NTC,Natcoin,0.00000328 BTC,$0.02,-3.9%,-6.43%,138.499,Unknown,Unknown,Unknown
1433,CMP,Compcoin,0.00144997 BTC,$11.5,-3.78%,-12.27%,134.27,Unknown,Unknown,Unknown
1434,FONZ,Fonziecoin,0.00000026 BTC,$0.00,-3.96%,-6.5%,131.827,Unknown,Unknown,Unknown
1435,PRIMU,Primulon,0.00000005 BTC,$0.00,-3.96%,-23.33%,130.995,Unknown,Unknown,"750,000,000.0"
1436,RICHX,RichCoin,0.00000063 BTC,$0.00,-3.78%,-29.12%,122.444,Unknown,Unknown,Unknown
1437,BET,BetaCoin,0.00000081 BTC,$0.00,-3.71%,-27.09%,117.622,Unknown,Unknown,Unknown
1438,XDE2,XDE II,0.00079438 BTC,$6.34,35.84%,-3.09%,112.593,Unknown,Unknown,Unknown
1439,UAHPAY,UAHPay,0.000000008 BTC,$0.00,-4.5%,-17.62%,111.736,Unknown,Unknown,Unknown
1440,OMC,Omicron,0.00002414 BTC,$0.19,-3.96%,-14.86%,107.646,Unknown,Unknown,Unknown
1441,FFC,FireFlyCoin,0.00000005 BTC,$0.00,-19.97%,-19.85%,103.696,Unknown,Unknown,Unknown
1442,BUB,Bubble,0.00000307 BTC,$0.02,0.59%,Unknown,97.0605,Unknown,Unknown,Unknown
1443,EBIT,eBIT,0.00000051 BTC,$0.00,-4.39%,-40.19%,91.3458,Unknown,Unknown,Unknown
1444,KARMA,Karmacoin,0.00000001 BTC,$0.00,-3.78%,-14.5%,89.5754,Unknown,Unknown,"92,000,000,000.0"
1445,KASHH,KashhCoin,0.00000001 BTC,$0.00,-3.71%,-14.49%,88.4928,Unknown,Unknown,Unknown
1446,BIRDS,Birds,0.00000005 BTC,$0.00,-3.78%,6.88%,68.9949,Unknown,Unknown,Unknown
1447,ACN,Avoncoin,0.00000008 BTC,$0.00,-3.78%,-14.49%,57.1833,Unknown,Unknown,Unknown
1448,CC,CyberCoin,0.00000001 BTC,$0.00,-3.96%,-71.5%,55.8941,Unknown,Unknown,Unknown
1449,TOPAZ,Topaz Coin,0.00005556 BTC,$0.44,-3.78%,-13.97%,48.7559,Unknown,Unknown,Unknown
1450,IBTC,iBTC,0.00000028 BTC,$0.00,-4.38%,-14.95%,47.3041,Unknown,Unknown,Unknown
1451,LAZ,Lazaruscoin,0.00000013 BTC,$0.00,-3.78%,Unknown,43.9884,Unknown,Unknown,Unknown
1452,ELTC2,eLTC,0.00000005 BTC,$0.00,-4.5%,-54.9%,42.4106,Unknown,Unknown,Unknown
1453,DISK,DarkLisk,0.00000018 BTC,$0.00,1.88%,-9.46%,41.7832,Unknown,Unknown,Unknown
1454,UNRC,UniversalRoyalCoin,0.00000020 BTC,$0.00,-9.97%,-21.38%,34.8466,Unknown,Unknown,Unknown
1455,XVE,The Vegan Initiative,0.00000010 BTC,$0.00,-3.71%,-14.5%,28.6023,Unknown,Unknown,Unknown
1456,AV,AvatarCoin,0.00000599 BTC,$0.04,-3.78%,-20.15%,25.7718,Unknown,Unknown,Unknown
1457,SNAKE,SnakeEyes,0.00000194 BTC,$0.01,-3.44%,-20.11%,25.6029,Unknown,Unknown,Unknown
1458,OP,Operand,0.00000026 BTC,$0.00,-3.78%,-3.5%,24.4562,Unknown,Unknown,Unknown
1459,10MT,10M Token,0.00000056 BTC,$0.00,-4.5%,-41.4%,22.8365,Unknown,Unknown,Unknown
1460,FBL,Faceblock,0.00000059 BTC,$0.00,-4.39%,-72.69%,22.0209,Unknown,Unknown,Unknown
1461,HNC,Huncoin,0.00000016 BTC,$0.00,Unknown,-37.82%,21.4494,Unknown,Unknown,Unknown
1462,RUBIT,RubleBit,0.00000122 BTC,$0.00,-3.78%,-19.35%,20.4031,Unknown,Unknown,Unknown
1463,DUB,Dubstep,0.00000021 BTC,$0.00,-3.71%,-25.19%,20.3608,Unknown,Unknown,Unknown
1464,YES,Yescoin,0.00000001 BTC,$0.00,-3.78%,-14.5%,20.007,Unknown,Unknown,Unknown
1465,CBD,CBD Crystals,0.00000022 BTC,$0.00,-3.78%,-32.82%,18.5666,Unknown,Unknown,Unknown
1466,AXIOM,Axiom,0.00000146 BTC,$0.01,-3.78%,-13.9%,18.223,Unknown,Unknown,Unknown
1467,XQN,Quotient,0.00000095 BTC,$0.00,-3.71%,-18.41%,18.027,Unknown,Unknown,Unknown
1468,X2,X2,0.00000003 BTC,$0.00,-3.78%,-35.87%,17.4123,Unknown,Unknown,Unknown
1469,BSN,Bastonet,0.00000015 BTC,$0.00,-3.78%,-28.74%,17.167,Unknown,Unknown,Unknown
1470,DCRE,DeltaCredits,0.00002279 BTC,$0.18,-3.78%,Unknown,16.6548,Unknown,Unknown,Unknown
1471,RUNNERS,Runners,0.00000006 BTC,$0.00,-3.78%,-14.5%,13.9947,Unknown,Unknown,Unknown
1472,RHFC,RHFCoin,0.00000006 BTC,$0.00,-3.78%,2.61%,13.209,Unknown,Unknown,Unknown
1473,MONETA,Moneta,0.00000007 BTC,$0.00,-3.71%,-14.5%,12.922,Unknown,Unknown,Unknown
1474,IVZ,InvisibleCoin,0.00002637 BTC,$0.21,-3.96%,-59.07%,12.3692,Unknown,Unknown,Unknown
1475,FUTC,FutCoin,0.00000016 BTC,$0.00,-3.96%,-2.29%,12.2832,Unknown,Unknown,Unknown
1476,VOYA,Voyacoin,0.000115 BTC,$0.91,-3.95%,-14.66%,11.6948,Unknown,Unknown,Unknown
1477,CYC,Cycling Coin,0.00000018 BTC,$0.00,-3.96%,-19.0%,11.011,Unknown,Unknown,Unknown
1478,NBIT,netBit,0.00000108 BTC,$0.00,-3.96%,-58.94%,9.48588,Unknown,Unknown,Unknown
1479,CHEAP,Cheapcoin,0.00000008 BTC,$0.00,-3.78%,-14.52%,6.39254,Unknown,Unknown,Unknown
1480,SHELL,ShellCoin,0.00000687 BTC,$0.05,-3.78%,Unknown,5.99156,Unknown,Unknown,Unknown
1481,XAU,Xaucoin,0.00000469 BTC,$0.03,-3.78%,-16.62%,5.39522,Unknown,Unknown,Unknown
1482,MMXVI,MMXVI,0.00000042 BTC,$0.00,-3.96%,Unknown,5.36973,Unknown,Unknown,Unknown
1483,RUPX,Rupaya [OLD],0.00000049 BTC,$0.00,-3.96%,-35.56%,5.0509,Unknown,Unknown,Unknown
1484,MBL,MobileCash,0.00000002 BTC,$0.00,-3.78%,-14.5%,5.01023,Unknown,Unknown,Unknown
1485,LTH,LAthaan,0.00000007 BTC,$0.00,-3.96%,-0.26%,4.93863,Unknown,Unknown,Unknown
1486,PSY,Psilocybin,0.00000279 BTC,$0.02,-3.78%,Unknown,4.84059,Unknown,Unknown,Unknown
1487,DBG,Digital Bullion Gold,0.00000030 BTC,$0.00,-3.96%,-14.5%,4.80327,Unknown,Unknown,Unknown
1488,ASN,Aseancoin,0.00000089 BTC,$0.00,-3.71%,-20.74%,4.10289,Unknown,Unknown,Unknown
1489,GML,GameLeagueCoin,0.00000175 BTC,$0.01,-3.78%,-13.56%,3.28073,Unknown,Unknown,Unknown
1490,UTA,UtaCoin,0.00000010 BTC,$0.00,-3.78%,-14.49%,3.12787,Unknown,Unknown,Unknown
1491,PRM,PrismChain,0.00000018 BTC,$0.00,-3.96%,-9.48%,1.43832,Unknown,Unknown,Unknown
1492,TERA,TeraCoin,0.0000000002 BTC,$0.00,-4.04%,-10.52%,1.08531,Unknown,Unknown,Unknown
1493,TCR,TheCreed,0.00000006 BTC,$0.00,-3.78%,2.61%,0.9588,Unknown,Unknown,Unknown
1494,TRICK,TrickyCoin,0.00000184 BTC,$0.01,-3.78%,-14.03%,0.878974,Unknown,Unknown,Unknown
1495,EGG,EggCoin,0.00000300 BTC,$0.02,-3.78%,-2.09%,0.878974,Unknown,Unknown,Unknown
1496,BAC,BitAlphaCoin,0.00000080 BTC,$0.00,-3.78%,-12.34%,0.799866,Unknown,Unknown,Unknown
1497,TEAM,TeamUp,0.00000004 BTC,$0.00,-3.78%,6.16%,0.799147,Unknown,Unknown,Unknown
